utilization_ratio,current_balance,days_since_last_decrease,age,region_code,pred_A,bureau_score,bureau_delinq_cnt,bureau_open_accts,bad_flag
24.86,4016.0,224,56,Kansai,0.03792209149630563,654.0,0.0,7.0,
55.03,453.0,275,74,Kansai,0.044352701397578416,646.0,0.0,5.0,
11.09,880.0,127,64,Kansai,0.05272571065876173,626.0,0.0,5.0,
50.99,1328.0,217,34,Kansai,0.047605111865681844,744.0,0.0,4.0,
17.73,1839.0,258,36,Kansai,0.046388525148211505,698.0,0.0,7.0,
19.83,3052.0,48,34,Kanto,0.03136757890154865,602.0,0.0,2.0,
37.62,1383.0,371,24,Kansai,0.04404484851817363,613.0,1.0,4.0,
54.35,1375.0,54,41,Kanto,0.03811724805345575,700.0,0.0,5.0,
35.33,740.0,170,58,Kanto,0.03487589182218219,664.0,0.0,3.0,
32.64,1283.0,104,74,Kansai,0.0378882885531291,689.0,0.0,3.0,
